admin@BorderLeaf1:~$ show interfaces status
  Interface            Lanes       Speed    MTU    FEC         Alias    Vlan    Oper    Admin    Type    Asym PFC
-----------  ---------------  ----------  -----  -----  ------------  ------  ------  -------  ------  ----------
  Ethernet0                9         10G   1500    N/A   Ethernet5/1  routed    down       up     N/A         N/A
  Ethernet1               10         10G   9100    N/A   Ethernet5/2  routed    down     down     N/A         N/A
  Ethernet2               11         10G   9100    N/A   Ethernet5/3  routed    down     down     N/A         N/A
  Ethernet3               12  4294967.3G   9100    N/A   Ethernet5/4  routed      up     down     N/A         N/A
  Ethernet4      13,14,15,16         40G   9100   none   Ethernet6/1  routed    down     down     N/A         N/A
  Ethernet8      17,18,19,20         40G   9100   none   Ethernet7/1  routed    down     down     N/A         N/A
 Ethernet12      21,22,23,24         40G   9100   none   Ethernet8/1  routed    down     down     N/A         N/A
 Ethernet16      29,30,31,32         40G   9100   none   Ethernet9/1  routed    down     down     N/A         N/A
 Ethernet20      25,26,27,28         40G   9100   none  Ethernet10/1  routed    down     down     N/A         N/A
 Ethernet24      33,34,35,36         40G   9100   none  Ethernet11/1  routed    down     down     N/A         N/A
 Ethernet28      37,38,39,40         40G   9100   none  Ethernet12/1  routed    down     down     N/A         N/A
 Ethernet32      45,46,47,48         40G   9100   none  Ethernet13/1  routed    down     down     N/A         N/A
 Ethernet36      41,42,43,44         40G   9100   none  Ethernet14/1  routed    down     down     N/A         N/A
 Ethernet40      49,50,51,52         40G   9100   none  Ethernet15/1  routed    down     down     N/A         N/A
 Ethernet44      53,54,55,56         40G   9100   none  Ethernet16/1  routed    down     down     N/A         N/A
 Ethernet48      69,70,71,72         40G   9100   none  Ethernet17/1  routed    down     down     N/A         N/A
 Ethernet52      65,66,67,68         40G   9100   none  Ethernet18/1  routed    down     down     N/A         N/A
 Ethernet56      73,74,75,76         40G   9100   none  Ethernet19/1  routed    down     down     N/A         N/A
 Ethernet60      77,78,79,80         40G   9100   none  Ethernet20/1  routed    down     down     N/A         N/A
 Ethernet64      93,94,95,96         40G   9100   none  Ethernet21/1  routed    down     down     N/A         N/A
 Ethernet68      89,90,91,92         40G   9100   none  Ethernet22/1  routed    down     down     N/A         N/A
 Ethernet72     97,98,99,100         40G   9100   none  Ethernet23/1  routed    down     down     N/A         N/A
 Ethernet76  101,102,103,104         40G   9100   none  Ethernet24/1  routed    down     down     N/A         N/A
 Ethernet80  109,110,111,112         40G   9100   none  Ethernet25/1  routed    down     down     N/A         N/A
 Ethernet84  105,106,107,108         40G   9100   none  Ethernet26/1  routed    down     down     N/A         N/A
 Ethernet88  121,122,123,124         40G   9100   none  Ethernet27/1  routed    down     down     N/A         N/A
 Ethernet92  125,126,127,128         40G   9100   none  Ethernet28/1  routed    down     down     N/A         N/A
 Ethernet96      61,62,63,64         40G   9100   none    Ethernet29  routed    down     down     N/A         N/A
Ethernet100      57,58,59,60         40G   9100   none    Ethernet30  routed    down     down     N/A         N/A
Ethernet104      81,82,83,84         40G   9100   none    Ethernet31  routed    down     down     N/A         N/A
Ethernet108      85,86,87,88         40G   9100   none    Ethernet32  routed    down     down     N/A         N/A
Ethernet112  117,118,119,120         40G   9100   none    Ethernet33  routed    down     down     N/A         N/A
Ethernet116  113,114,115,116         40G   9100   none    Ethernet34  routed    down     down     N/A         N/A
Ethernet120          1,2,3,4         40G   9100   none    Ethernet35  routed    down     down     N/A         N/A
Ethernet124          5,6,7,8         40G   9100   none    Ethernet36  routed    down     down     N/A         N/A
admin@BorderLeaf1:~$
